start_date,end_date,zone,label
2019-02-16,2019-03-04,A,Hiver
2019-04-13,2019-04-29,A,Printemps
2019-07-06,2019-09-02,A,Été
2019-10-19,2019-11-04,A,Toussaint
2019-12-21,2020-01-06,A,Noël
2020-02-22,2020-03-09,A,Hiver
2020-04-18,2020-05-04,A,Printemps
2020-07-04,2020-09-01,A,Été
2020-10-17,2020-11-02,A,Toussaint
2020-12-19,2021-01-04,A,Noël
2021-02-06,2021-02-22,A,Hiver
2021-04-10,2021-04-26,A,Printemps
2021-07-06,2021-09-02,A,Été
2021-10-23,2021-11-08,A,Toussaint
2021-12-18,2022-01-03,A,Noël
2022-02-12,2022-02-28,A,Hiver
2022-04-16,2022-05-02,A,Printemps
2022-07-07,2022-09-01,A,Été
2022-10-22,2022-11-07,A,Toussaint
2022-12-17,2023-01-03,A,Noël
2023-02-04,2023-02-20,A,Hiver
2023-04-08,2023-04-24,A,Printemps
2023-07-08,2023-09-04,A,Été
2023-10-21,2023-11-06,A,Toussaint
2023-12-23,2024-01-08,A,Noël
2024-02-17,2024-03-04,A,Hiver
2024-04-13,2024-04-29,A,Printemps
2024-07-06,2024-09-02,A,Été
2024-10-19,2024-11-04,A,Toussaint
2024-12-21,2025-01-06,A,Noël
2025-02-22,2025-03-10,A,Hiver
2025-04-19,2025-05-05,A,Printemps
2025-07-05,2025-09-01,A,Été
