start_date,end_date,zone,label
2019-02-09,2019-02-25,B,Hiver
2019-04-06,2019-04-23,B,Printemps
2019-07-06,2019-09-02,B,Été
2019-10-19,2019-11-04,B,Toussaint
2019-12-21,2020-01-06,B,Noël
2020-02-15,2020-03-02,B,Hiver
2020-04-11,2020-04-27,B,Printemps
2020-07-04,2020-09-01,B,Été
2020-10-17,2020-11-02,B,Toussaint
2020-12-19,2021-01-04,B,Noël
2021-02-20,2021-03-08,B,Hiver
2021-04-24,2021-05-10,B,Printemps
2021-07-06,2021-09-02,B,Été
2021-10-23,2021-11-08,B,Toussaint
2021-12-18,2022-01-03,B,Noël
2022-02-05,2022-02-21,B,Hiver
2022-04-09,2022-04-25,B,Printemps
2022-07-07,2022-09-01,B,Été
2022-10-22,2022-11-07,B,Toussaint
2022-12-17,2023-01-03,B,Noël
2023-02-11,2023-02-27,B,Hiver
2023-04-15,2023-05-02,B,Printemps
2023-07-08,2023-09-04,B,Été
2023-10-21,2023-11-06,B,Toussaint
2023-12-23,2024-01-08,B,Noël
2024-02-24,2024-03-11,B,Hiver
2024-04-20,2024-05-06,B,Printemps
2024-07-06,2024-09-02,B,Été
2024-10-19,2024-11-04,B,Toussaint
2024-12-21,2025-01-06,B,Noël
2025-02-08,2025-02-24,B,Hiver
2025-04-05,2025-04-22,B,Printemps
2025-07-05,2025-09-01,B,Été
