start_date,end_date,zone,label
2019-02-28,2019-03-09,BW,Hiver
2019-04-15,2019-04-27,BW,Pâques
2019-07-29,2019-09-10,BW,Été
2019-10-28,2019-10-31,BW,Toussaint
2019-12-23,2020-01-04,BW,Noël
2020-02-24,2020-02-29,BW,Hiver
2020-04-06,2020-04-18,BW,Pâques
2020-07-30,2020-09-12,BW,Été
2020-10-26,2020-10-30,BW,Toussaint
2020-12-23,2021-01-09,BW,Noël
2021-02-15,2021-02-20,BW,Hiver
2021-04-06,2021-04-10,BW,Pâques
2021-07-29,2021-09-11,BW,Été
2021-11-02,2021-11-06,BW,Toussaint
2021-12-23,2022-01-08,BW,Noël
2022-02-28,2022-03-05,BW,Hiver
2022-04-14,2022-04-23,BW,Pâques
2022-07-28,2022-09-10,BW,Été
2022-10-31,2022-11-05,BW,Toussaint
2022-12-21,2023-01-07,BW,Noël
2023-02-20,2023-02-25,BW,Hiver
2023-04-06,2023-04-15,BW,Pâques
2023-07-27,2023-09-09,BW,Été
2023-10-30,2023-11-04,BW,Toussaint
2023-12-23,2024-01-05,BW,Noël
2024-02-12,2024-02-17,BW,Hiver
2024-03-25,2024-04-06,BW,Pâques
2024-07-25,2024-09-07,BW,Été
2024-10-28,2024-11-02,BW,Toussaint
2024-12-23,2025-01-04,BW,Noël
2025-03-03,2025-03-08,BW,Hiver
2025-04-14,2025-04-26,BW,Pâques
2025-07-31,2025-09-13,BW,Été
2025-10-27,2025-11-01,BW,Toussaint
2025-12-22,2026-01-06,BW,Noël
