
start_date,end_date,zone,label
2023-10-21,2023-11-06,C,Toussaint 2023
2023-12-23,2024-01-08,C,Noel 2023-2024
2024-02-10,2024-02-26,C,Hiver 2024
2024-04-06,2024-04-22,C,Printemps 2024
2024-05-08,2024-05-13,C,Pont Ascension 2024
2024-07-06,2024-09-02,C,Ete 2024
2024-10-19,2024-11-04,C,Toussaint 2024
2024-12-21,2025-01-06,C,Noel 2024-2025
2025-02-15,2025-03-03,C,Hiver 2025
2025-04-12,2025-04-28,C,Printemps 2025
2025-05-28,2025-06-02,C,Pont Ascension 2025
2025-07-05,2025-09-01,C,Ete 2025
2025-10-18,2025-11-03,C,Toussaint 2025
2025-12-20,2026-01-05,C,Noel 2025-2026
2026-02-21,2026-03-09,C,Hiver 2026
2026-04-18,2026-05-04,C,Printemps 2026
2026-05-13,2026-05-18,C,Pont Ascension 2026
2026-07-04,2026-09-01,C,Ete 2026
